condition,condition_label,final_mean_belonging_mean,final_mean_belonging_std,final_mean_belonging_median,mean_helping_rate_mean,mean_helping_rate_std,mean_helping_rate_median,mean_reciprocal_support_rate_mean,mean_reciprocal_support_rate_std,mean_reciprocal_support_rate_median,mean_volunteer_retention_mean,mean_volunteer_retention_std,mean_volunteer_retention_median,mean_withdrawal_rate_mean,mean_withdrawal_rate_std,mean_withdrawal_rate_median,mean_collective_avoidance_rate_mean,mean_collective_avoidance_rate_std,mean_collective_avoidance_rate_median,community_breakdown_mean,community_breakdown_std,community_breakdown_median
payoff_only,Payoff only,0.5,0.0,0.5,0.23702012844650747,0.013199636094161462,0.23857630575366812,0.35238797852059195,0.012519442384638943,0.3535015629537301,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reputation_only,Reputation only,0.5,0.0,0.5,0.28708820880676783,0.026022902753942787,0.28885162840741313,0.3507150799374468,0.029485894901135595,0.3532196935336467,1.0,0.0,1.0,0.0,0.0,0.0,0.5720119314681782,0.04483349404461579,0.5670574792691995,0.13333333333333333,0.3457459036417604,0.0
belonging_only,Belonging only,0.23317777777777726,0.06518078898635528,0.23363733333333275,0.1692202139267282,0.02582892115819387,0.16450527403303683,0.28391860457585316,0.02689701260518086,0.2860444009631131,0.7876,0.06020058425653021,0.7893333333333332,0.07726400460965471,0.02807955238252532,0.07066575310654255,0.0,0.0,0.0,0.6666666666666666,0.47946330148538413,1.0
full_structured_model,Full structured,0.9557214629420435,0.040437145221545054,0.9636784962049931,0.6281619256674925,0.03721239500201161,0.6304600547150457,0.6747053626411847,0.03577541201301012,0.6785651394780012,0.9950444444444444,0.010281379714697952,1.0,0.00035590335590334995,0.0015382801109275859,0.0,0.7417957468457469,0.10954655666924691,0.7691666666666667,0.0,0.0,0.0
full_llm_mediated_model,Full LLM-mediated,0.0540024687493654,0.01789334541371654,0.05082624849364965,0.2545334538194373,0.03335776978641698,0.2568665402582989,0.30930076635217435,0.03561817206389038,0.3098924021173646,0.5248222222222222,0.038069379428404874,0.5183333333333333,0.17120374465849628,0.029878429347448728,0.1719510798369157,0.6031070657001671,0.03107497246374104,0.6162717680070058,1.0,0.0,1.0
