run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown
23,reputation_only,0.5,0.0,0.19975024345375164,0.29288726162262974,0.3674214661595863,1.0,0.0,0.47201568661311427,,0
24,reputation_only,0.5,0.0,0.2192404857686178,0.3008785921942134,0.36851531839864116,1.0,0.0,0.6563968917839762,,0
25,reputation_only,0.5,0.0,0.24698392618589488,0.30509198196024817,0.3640503750118729,1.0,0.0,0.556867760780908,,0
26,reputation_only,0.5,0.0,0.2538814848595155,0.3389598653765432,0.40657071659827876,1.0,0.0,0.5406317864439146,,0
27,reputation_only,0.5,0.0,0.2009400769093254,0.2622126520635405,0.32546715338063775,1.0,0.0,0.5683618747223386,,0
28,reputation_only,0.5,0.0,0.2361834170426892,0.32506608976715995,0.3991229342979824,1.0,0.0,0.6011839979773146,,0
29,reputation_only,0.5,0.0,0.23697978018734084,0.2939973120528982,0.3535275932852165,1.0,0.0,0.6213205565642064,,0
0,belonging_only,0.25378533333333286,0.22623303324571215,0.5,0.1754449681262038,0.2937914312101652,0.802,0.060422219103939384,0.0,,1
1,belonging_only,0.16738133333333285,0.1328431354576599,0.5,0.14466672268892622,0.25821373231388645,0.7446666666666667,0.09610920583581777,0.0,,1
2,belonging_only,0.3093733333333328,0.14883300040276304,0.5,0.2001119497117949,0.31540648373814006,0.8980000000000001,0.04319140938181185,0.0,,0
3,belonging_only,0.2749733333333328,0.163013151316764,0.5,0.18330623724101985,0.2976713757582212,0.8553333333333335,0.04760406308966007,0.0,,1
4,belonging_only,0.3016826666666662,0.24407274039970575,0.5,0.20415697032361454,0.3117071597660203,0.7906666666666666,0.05935250645467363,0.0,,0
5,belonging_only,0.18076399999999954,0.12894456166895904,0.5,0.15274177527875873,0.26363111654838334,0.7,0.10911522498828999,0.0,,1
6,belonging_only,0.12611066666666632,0.12419503100455423,0.5,0.13267679456766143,0.24287961061126698,0.6686666666666667,0.13928628621120878,0.0,,1
7,belonging_only,0.32077866666666605,0.20152174876397053,0.5,0.20697629530174286,0.3162288302337199,0.8526666666666668,0.07106139689344024,0.0,,0
8,belonging_only,0.2636106666666661,0.15460273423484094,0.5,0.1818229865137928,0.29914656641798254,0.8380000000000001,0.04335145573380867,0.0,,0
9,belonging_only,0.2907919999999995,0.231278959388873,0.5,0.18692481491303004,0.3053827156507362,0.834,0.061758833357904566,0.0,,0
10,belonging_only,0.2142106666666662,0.12991816662636343,0.5,0.1561994381271202,0.2703792548756339,0.7859999999999999,0.07319090464059505,0.0,,1
11,belonging_only,0.23513466666666616,0.16793996529977262,0.5,0.1615131770160711,0.2853039937519444,0.794,0.06650957358774696,0.0,,1
12,belonging_only,0.2505973333333328,0.19900417682272117,0.5,0.17295639927443665,0.29209660026001727,0.7879999999999999,0.06470593187342413,0.0,,0
13,belonging_only,0.23213999999999943,0.15412461685272727,0.5,0.16749737105000262,0.28678480817428187,0.7693333333333332,0.07231948022737496,0.0,,0
14,belonging_only,0.2376853333333328,0.16363454752859752,0.5,0.1727851308403536,0.29641069859606006,0.8180000000000001,0.07027010931964492,0.0,,1
15,belonging_only,0.34124533333333285,0.23297344575055942,0.5,0.21204739768091496,0.3257707118289646,0.8526666666666668,0.04900227604390345,0.0,,1
16,belonging_only,0.3884293333333328,0.21384968476219193,0.5,0.23196276168156632,0.3437296825327348,0.8953333333333336,0.040234600766637374,0.0,,0
17,belonging_only,0.24102666666666608,0.17955744063916948,0.5,0.17299009315044447,0.2869099244767437,0.7580000000000001,0.060448304963010846,0.0,,0
18,belonging_only,0.1738626666666662,0.1279311909565276,0.5,0.1502845345976319,0.2625418708462086,0.7286666666666668,0.10017974007864977,0.0,,1
19,belonging_only,0.29091733333333275,0.1967051291473836,0.5,0.17780011199670642,0.30932797396961487,0.84,0.03562822497420021,0.0,,1
20,belonging_only,0.20031466666666617,0.11663566920781794,0.5,0.14728759493000979,0.2711901265573092,0.8,0.07599061301615481,0.0,,1
