condition,final_mean_belonging_mean,final_mean_belonging_std,mean_helping_rate_mean,mean_helping_rate_std,mean_reciprocal_support_rate_mean,mean_reciprocal_support_rate_std,mean_volunteer_retention_mean,mean_volunteer_retention_std,mean_withdrawal_rate_mean,mean_collective_avoidance_rate_mean,community_breakdown_probability,mean_signal_extraction_consistency
belonging_only,0.2331777777777773,0.06518078898635528,0.16922021392672823,0.025828921158193862,0.2839186045758532,0.02689701260518086,0.7876,0.06020058425653021,0.07726400460965475,0.0,0.6666666666666666,
full_llm_mediated_model,0.05400246874936544,0.017893345413716545,0.2545334538194373,0.03335776978641698,0.3093007663521744,0.03561817206389038,0.5248222222222223,0.03806937942840487,0.1712037446584963,0.6031070657001671,1.0,0.9396685086688835
full_structured_model,0.9557214629420435,0.04043714522154504,0.6281619256674925,0.03721239500201161,0.6747053626411847,0.03577541201301012,0.9950444444444444,0.010281379714697968,0.0003559033559033559,0.7417957468457469,0.0,
payoff_only,0.5,0.0,0.2370201284465075,0.013199636094161462,0.352387978520592,0.01251944238463895,1.0,0.0,0.0,0.0,0.0,
reputation_only,0.5,0.0,0.28708820880676783,0.02602290275394279,0.3507150799374469,0.02948589490113558,1.0,0.0,0.0,0.5720119314681782,0.13333333333333333,
