run,step,condition,mean_belonging,std_belonging,mean_collective_reputation,support_requests,helping_rate,reciprocal_support_rate,repair_rate,delay_rate,refusal_rate,withdrawal_rate,volunteer_retention,collective_avoidance_rate,mean_reward_signal,mean_pain_signal,mean_delta_B,mean_help_probability,mean_helping_value,signal_extraction_consistency
0,0,payoff_only,0.5,0.0,0.5,19,0.2105263157894736,0.3368421052631579,0.0,0.4210526315789473,0.3684210526315789,0.0,1.0,0.0,0.0863157894736841,0.1855263157894737,0.0,0.2364033948403731,0.3325000000000001,
0,1,payoff_only,0.5,0.0,0.5,19,0.4736842105263157,0.5368421052631579,0.0,0.2105263157894736,0.3157894736842105,0.0,1.0,0.0,0.1942105263157894,0.1421052631578947,0.0,0.2364033948403731,0.3325000000000001,
0,2,payoff_only,0.5,0.0,0.5,21,0.1904761904761904,0.2761904761904762,0.0,0.2857142857142857,0.5238095238095238,0.0,1.0,0.0,0.078095238095238,0.2285714285714285,0.0,0.2364033948403731,0.3325000000000002,
0,3,payoff_only,0.5,0.0,0.5,19,0.1052631578947368,0.2473684210526315,0.0,0.4736842105263157,0.4210526315789473,0.0,1.0,0.0,0.043157894736842,0.2111842105263158,0.0,0.2364033948403731,0.3325000000000001,
0,4,payoff_only,0.5,0.0,0.5,20,0.1,0.265,0.0,0.55,0.35,0.0,1.0,0.0,0.0409999999999999,0.193125,0.0,0.2364033948403731,0.3325000000000001,
0,5,payoff_only,0.5,0.0,0.5,19,0.2105263157894736,0.3526315789473684,0.0,0.4736842105263157,0.3157894736842105,0.0,1.0,0.0,0.0863157894736841,0.1717105263157894,0.0,0.2364033948403731,0.3325000000000001,
0,6,payoff_only,0.5,0.0,0.5,14,0.1428571428571428,0.2071428571428571,0.0,0.2142857142857142,0.6428571428571429,0.0,1.0,0.0,0.0585714285714285,0.2651785714285714,0.0,0.2364033948403731,0.3325000000000001,
0,7,payoff_only,0.5,0.0,0.5,19,0.3684210526315789,0.4789473684210526,0.0,0.3684210526315789,0.2631578947368421,0.0,1.0,0.0,0.1510526315789473,0.1401315789473684,0.0,0.2364033948403731,0.3325000000000001,
0,8,payoff_only,0.5,0.0,0.5,24,0.1666666666666666,0.3041666666666666,0.0,0.4583333333333333,0.375,0.0,1.0,0.0,0.0683333333333333,0.1921875,0.0,0.2364033948403731,0.3325000000000001,
0,9,payoff_only,0.5,0.0,0.5,21,0.3333333333333333,0.4904761904761905,0.0,0.5238095238095238,0.1428571428571428,0.0,1.0,0.0,0.1366666666666666,0.1124999999999999,0.0,0.2364033948403731,0.3325000000000002,
0,10,payoff_only,0.5,0.0,0.5,19,0.2105263157894736,0.3052631578947368,0.0,0.3157894736842105,0.4736842105263157,0.0,1.0,0.0,0.0863157894736841,0.2131578947368421,0.0,0.2364033948403731,0.3325000000000001,
0,11,payoff_only,0.5,0.0,0.5,21,0.1428571428571428,0.3,0.0,0.5238095238095238,0.3333333333333333,0.0,1.0,0.0,0.0585714285714285,0.1839285714285714,0.0,0.2364033948403731,0.3325000000000002,
0,12,payoff_only,0.5,0.0,0.5,25,0.16,0.244,0.0,0.28,0.56,0.0,1.0,0.0,0.0655999999999999,0.2415,0.0,0.2364033948403731,0.3325000000000001,
0,13,payoff_only,0.5,0.0,0.5,20,0.25,0.3399999999999999,0.0,0.3,0.45,0.0,1.0,0.0,0.1025,0.2024999999999999,0.0,0.2364033948403731,0.3325000000000001,
0,14,payoff_only,0.5,0.0,0.5,14,0.2857142857142857,0.35,0.0,0.2142857142857142,0.5,0.0,1.0,0.0,0.1171428571428571,0.2116071428571428,0.0,0.2364033948403731,0.3325000000000001,
0,15,payoff_only,0.5,0.0,0.5,21,0.1904761904761904,0.319047619047619,0.0,0.4285714285714285,0.3809523809523809,0.0,1.0,0.0,0.078095238095238,0.1910714285714286,0.0,0.2364033948403731,0.3325000000000002,
0,16,payoff_only,0.5,0.0,0.5,19,0.3684210526315789,0.4473684210526316,0.0,0.2631578947368421,0.3684210526315789,0.0,1.0,0.0,0.1510526315789473,0.1677631578947368,0.0,0.2364033948403731,0.3325000000000001,
