run,step,condition,mean_belonging,std_belonging,mean_collective_reputation,support_requests,helping_rate,reciprocal_support_rate,repair_rate,delay_rate,refusal_rate,withdrawal_rate,volunteer_retention,collective_avoidance_rate,mean_reward_signal,mean_pain_signal,mean_delta_B,mean_help_probability,mean_helping_value,parameter,value
0,0,full_structured_model,0.4971,0.03258483696445328,0.4809000000000001,24,0.20833333333333334,0.3458333333333334,0.0,0.4583333333333333,0.3333333333333333,0.0,1.0,0.0,0.08541666666666665,0.17656250000000004,-0.003625000000000022,0.41823384727164425,0.45281446153846155,beta_b,0.2
0,1,full_structured_model,0.5037485,0.04229222097797657,0.47653657812500005,18,0.3888888888888889,0.48888888888888893,0.0,0.3333333333333333,0.2777777777777778,0.0,1.0,0.0,0.16090277777777773,0.14604166666666668,0.011080833333333324,0.4216091460796487,0.4545445811965812,beta_b,0.2
0,2,full_structured_model,0.5215006,0.06568552012003866,0.4869630255078125,17,0.5882352941176471,0.6764705882352942,0.0,0.29411764705882354,0.11764705882352941,0.0,1.0,0.0,0.24889705882352942,0.07813235294117649,0.031327235294117635,0.4580017847533962,0.47572281015412893,beta_b,0.2
0,3,full_structured_model,0.5305574000000001,0.08271225869249976,0.48056659093681375,20,0.4,0.505,0.0,0.35,0.25,0.0,1.0,0.0,0.173975,0.14119687500000003,0.013585199999999987,0.45857384755060177,0.4761906999954831,beta_b,0.2
0,4,full_structured_model,0.5387431262500001,0.08026153996940477,0.4791160265150417,15,0.4666666666666667,0.5366666666666666,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0,1.0,0.0,0.19121020833333333,0.140180625,0.016371452499999998,0.4319146064560109,0.46038075053141037,beta_b,0.2
0,5,full_structured_model,0.5532976167499999,0.09717894946548108,0.4813746441579315,22,0.5,0.5545454545454546,0.0,0.18181818181818182,0.3181818181818182,0.0,1.0,0.0,0.21430085227272724,0.14149896306818183,0.019847032499999993,0.4888788629314966,0.4940034832672701,beta_b,0.2
0,6,full_structured_model,0.5667263106875,0.11851046808706527,0.48676208327121695,17,0.5294117647058824,0.5823529411764706,0.0,0.17647058823529413,0.29411764705882354,0.0,1.0,0.0,0.23267583639705883,0.1312472426470588,0.02369769518382352,0.46916789316554663,0.4830054588371272,beta_b,0.2
0,7,full_structured_model,0.5783226933531249,0.12836270867734062,0.4835494425619993,21,0.47619047619047616,0.5261904761904761,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.0,1.0,0.0,0.20214781287202382,0.1559249776785714,0.016566260950892853,0.462583867200527,0.47956967976945936,beta_b,0.2
0,8,full_structured_model,0.590323524755625,0.13714275856149793,0.4840709389535784,22,0.45454545454545453,0.5363636363636364,0.0,0.2727272727272727,0.2727272727272727,0.0,1.0,0.0,0.19560290553977272,0.14738836635298294,0.016364770094318182,0.4644008664879296,0.47919945813170517,beta_b,0.2
0,9,full_structured_model,0.5965247380790389,0.1596760224524514,0.4719145600014897,26,0.34615384615384615,0.43846153846153846,0.0,0.3076923076923077,0.34615384615384615,0.0,1.0,0.3333333333333333,0.1507812339009916,0.17048569110576925,0.0071552461424008364,0.4724507270793288,0.48488363592068207,beta_b,0.2
