run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown,parameter,value,seed
29,full_structured_model,0.9680788190806614,0.09252150840424848,0.5301526287758686,0.6296776801923333,0.6801639302147449,1.0,0.0,0.8343571428571428,,0,beta_b,0.35,20260750
0,full_structured_model,0.9928883654728875,0.015902541298766427,0.6008028508871509,0.6875645328976269,0.7265831553212156,1.0,0.0,0.7966666666666665,,0,beta_b,0.5,20260721
1,full_structured_model,0.998405958995557,0.004818606817510052,0.6045841211620587,0.7179404788369952,0.754632086168185,1.0,0.0,0.7813095238095238,,0,beta_b,0.5,20260722
2,full_structured_model,0.9933280545483533,0.017679770105138735,0.6018527940394562,0.7336391297753145,0.7670331626076282,1.0,0.0,0.8043333333333333,,0,beta_b,0.5,20260723
3,full_structured_model,0.9881507480318592,0.02499846656110929,0.5726772947399351,0.7310220508334847,0.7600480624803329,1.0,0.0,0.7828571428571429,,0,beta_b,0.5,20260724
4,full_structured_model,0.9970256985851222,0.008505916480154311,0.6395260323964059,0.7351307064041255,0.775865249126594,1.0,0.0,0.83,,0,beta_b,0.5,20260725
5,full_structured_model,0.9419214244032755,0.15707486462697318,0.5389795953044946,0.6636286624480425,0.7052514708819801,0.9973333333333333,0.0,0.8026031746031745,,0,beta_b,0.5,20260726
6,full_structured_model,0.9926910566733386,0.014478570685025624,0.6452380649773458,0.7453447854827165,0.7788573855172857,1.0,0.0,0.8033333333333332,,0,beta_b,0.5,20260727
7,full_structured_model,0.9953325288836053,0.01611349130665215,0.6766288316235675,0.7532912308031147,0.7923947675916048,1.0,0.0,0.0,,0,beta_b,0.5,20260728
8,full_structured_model,0.9953234159211463,0.01426692596625368,0.614339136023642,0.7098388630122199,0.747565570519097,1.0,0.0,0.71,,0,beta_b,0.5,20260729
9,full_structured_model,0.9869416586982197,0.03679087238485294,0.616385366090364,0.7043056669127847,0.7390367409598652,1.0,0.0,0.8073333333333333,,0,beta_b,0.5,20260730
10,full_structured_model,0.9847818800942947,0.026781322216798836,0.6331653987762051,0.7156871450224936,0.7573403278825769,1.0,0.0,0.7943333333333333,,0,beta_b,0.5,20260731
11,full_structured_model,0.9947350026166771,0.012854541208043512,0.591022215502414,0.7773050524604497,0.807954500631802,1.0,0.0,0.0,,0,beta_b,0.5,20260732
12,full_structured_model,0.9924122646989553,0.017780338554887032,0.5466941172234198,0.7178784218662938,0.7534339065626035,1.0,0.0,0.8580952380952382,,0,beta_b,0.5,20260733
13,full_structured_model,0.995180023143405,0.0105458402600552,0.6248841320359688,0.7394251993108283,0.7758091523760342,1.0,0.0,0.8571428571428572,,0,beta_b,0.5,20260734
14,full_structured_model,0.9924402027358681,0.020124008928138124,0.6066570816749284,0.7203462128804315,0.7567469452947848,1.0,0.0,0.8373333333333334,,0,beta_b,0.5,20260735
15,full_structured_model,0.9845996061135339,0.02231835966110762,0.559327644586574,0.6836409299122553,0.7211076132826223,1.0,0.0,0.8793809523809525,,0,beta_b,0.5,20260736
16,full_structured_model,0.9893458664906192,0.01968932790851487,0.5992835319813743,0.7308247196184466,0.7646790075950394,1.0,0.0,0.8106666666666666,,0,beta_b,0.5,20260737
17,full_structured_model,0.9777616190140961,0.07835337307952653,0.6100619630793727,0.7014461832320226,0.7410554791696652,0.9980000000000001,0.0,0.8558095238095238,,0,beta_b,0.5,20260738
18,full_structured_model,0.9871020396945472,0.02135717836278556,0.6461133745865718,0.7556132625368872,0.7860312996140381,1.0,0.0,0.9,,0,beta_b,0.5,20260739
19,full_structured_model,0.9884488601908976,0.02334075323090713,0.5852867879566229,0.7351963924053011,0.775319153245555,1.0,0.0,0.64,,0,beta_b,0.5,20260740
20,full_structured_model,0.9905273960312524,0.020892478109547155,0.5978536009118326,0.7188751984270408,0.7558099453708745,1.0,0.0,0.831,,0,beta_b,0.5,20260741
21,full_structured_model,0.9944272730078546,0.014210729814171817,0.5724446159526064,0.7349033113383544,0.7719638137225969,1.0,0.0,0.8296666666666667,,0,beta_b,0.5,20260742
22,full_structured_model,0.9937951649956358,0.014638757039605578,0.6098050333009155,0.7553286064585168,0.7913664464214891,1.0,0.0,0.0,,0,beta_b,0.5,20260743
23,full_structured_model,0.9912252404447052,0.04426435319424193,0.6178691925062682,0.7136819832334961,0.7495636633438398,0.9980000000000001,0.0,0.8008333333333333,,0,beta_b,0.5,20260744
24,full_structured_model,0.9966118892787389,0.010772076001545207,0.6102786114293235,0.7212646466265379,0.7597464466047498,1.0,0.0,0.8686666666666667,,0,beta_b,0.5,20260745
25,full_structured_model,0.9882346544337346,0.022728837943421426,0.6063107276582118,0.7267894316347328,0.7644025317743329,1.0,0.0,0.8270000000000001,,0,beta_b,0.5,20260746
26,full_structured_model,0.9871140531311731,0.025768460316424647,0.5749943481026928,0.7098526032474477,0.7443669108233624,1.0,0.0,0.7816666666666666,,0,beta_b,0.5,20260747
27,full_structured_model,0.9892405308651262,0.022058727632819016,0.5796749624949087,0.6988327568775966,0.7338578333950394,1.0,0.0,0.8476666666666668,,0,beta_b,0.5,20260748
28,full_structured_model,0.9962033219910845,0.0069030640045053306,0.6243963492247772,0.7194379111289707,0.7570723204172636,1.0,0.0,0.72,,0,beta_b,0.5,20260749
29,full_structured_model,0.9942229510101226,0.013636697925417742,0.6127499559291124,0.7292968292345396,0.7679107549722853,1.0,0.0,0.7766666666666666,,0,beta_b,0.5,20260750
